#{"t_start": 1768426875.1885633, "env_id": "Acrobot-v1"}
r,l,t
-87.0,88,135.094543
-89.0,90,135.166879
-94.0,95,135.244585
-78.0,79,135.308047
-82.0,83,135.366701
-123.0,124,135.464723
-146.0,147,135.56834
-73.0,74,135.622936
-88.0,89,135.68207
-86.0,87,137.122591
-89.0,90,137.203729
-87.0,88,137.275816
-62.0,63,137.319884
-79.0,80,137.376955
-90.0,91,137.438199
-87.0,88,137.510388
-76.0,77,137.56453
-73.0,74,137.622617
-160.0,161,137.755975
-89.0,90,137.832546
-80.0,81,137.898553
-63.0,64,137.952597
-68.0,69,138.001727
-71.0,72,138.06389
-81.0,82,138.122286
-79.0,80,138.182545
-91.0,92,138.270485
-78.0,79,138.366555
-70.0,71,138.414682
-86.0,87,138.481875
-78.0,79,138.542671
-71.0,72,138.605683
-77.0,78,138.656825
-234.0,235,140.145602
-78.0,79,140.245709
-83.0,84,140.300671
-88.0,89,140.360688
-80.0,81,140.417295
-79.0,80,140.480318
-91.0,92,140.545325
-86.0,87,140.612515
-92.0,93,140.685533
-77.0,78,140.735444
-72.0,73,140.788485
-81.0,82,140.842627
-62.0,63,140.893618
-74.0,75,140.948363
-87.0,88,141.011529
-70.0,71,141.059655
-94.0,95,141.131682
-77.0,78,141.182437
-68.0,69,141.238326
-73.0,74,141.287499
-73.0,74,141.345376
-70.0,71,141.393312
-173.0,174,141.524879
-69.0,70,141.577697
-87.0,88,143.080141
-77.0,78,143.13868
-88.0,89,143.212916
-87.0,88,143.269065
-81.0,82,143.325339
-78.0,79,143.381289
-90.0,91,143.456601
-76.0,77,143.522775
-71.0,72,143.574266
-87.0,88,143.690051
-75.0,76,143.743542
-77.0,78,143.800235
-93.0,94,143.86249
-85.0,86,143.926724
-75.0,76,143.991651
-112.0,113,144.100626
-72.0,73,144.164835
-83.0,84,144.238027
-94.0,95,144.309798
-77.0,78,144.376376
-85.0,86,144.445557
-88.0,89,144.517586
-84.0,85,144.594573
-77.0,78,144.654731
-77.0,78,146.218607
-75.0,76,146.276728
-72.0,73,146.334855
-83.0,84,146.394414
-97.0,98,146.463542
-85.0,86,146.536734
-79.0,80,146.589455
-86.0,87,146.655513
-77.0,78,146.708174
-91.0,92,146.773592
-90.0,91,146.833777
-93.0,94,146.908342
-76.0,77,146.97147
-75.0,76,147.020617
-134.0,135,147.159576
-80.0,81,147.216731
-87.0,88,147.271615
-72.0,73,147.327799
-72.0,73,147.378761
-78.0,79,147.444423
-75.0,76,147.495558
-76.0,77,147.552708
-88.0,89,147.609599
-80.0,81,147.66861
