#{"t_start": 1768429730.5926514, "env_id": "Acrobot-v1"}
r,l,t
-86.0,87,171.593035
-64.0,65,171.648041
-80.0,81,171.706193
-71.0,72,171.785003
-79.0,80,171.852316
-78.0,79,171.904452
-72.0,73,171.958216
-85.0,86,172.016218
-69.0,70,172.072901
-87.0,88,172.135201
-72.0,73,172.195046
