#{"t_start": 1768427707.2001011, "env_id": "Acrobot-v1"}
r,l,t
-78.0,79,135.044574
-79.0,80,135.106196
-80.0,81,135.161685
-130.0,131,135.248027
-72.0,73,135.306312
-64.0,65,135.348099
-88.0,89,135.474131
-77.0,78,135.52307
-88.0,89,135.585349
-103.0,104,135.663938
-76.0,77,135.716074
-76.0,77,135.773062
-84.0,85,135.830141
-72.0,73,135.887939
-63.0,64,135.931052
-139.0,140,136.033004
-76.0,77,136.097942
-83.0,84,136.160142
-72.0,73,136.213432
-75.0,76,136.267241
-73.0,74,136.329045
-72.0,73,136.378107
-86.0,87,136.44401
-86.0,87,137.803815
-71.0,72,137.866023
-86.0,87,137.931192
-89.0,90,138.002097
-78.0,79,138.0512
-89.0,90,138.11324
-102.0,103,138.194874
-64.0,65,138.238004
-80.0,81,138.301011
-92.0,93,138.366182
-75.0,76,138.427943
-80.0,81,138.48233
-76.0,77,138.548988
-86.0,87,138.603073
-76.0,77,138.658338
-89.0,90,138.725048
-86.0,87,138.784376
-59.0,60,138.827894
-81.0,82,138.888348
-75.0,76,138.945023
-104.0,105,139.017212
-69.0,70,139.071958
-75.0,76,139.123465
-86.0,87,139.186334
-80.0,81,139.245269
-71.0,72,140.6266
-79.0,80,140.689229
-73.0,74,140.750334
-90.0,91,140.825515
-76.0,77,140.873056
-98.0,99,140.938973
-77.0,78,140.990378
-80.0,81,141.051174
-89.0,90,141.107337
-76.0,77,141.160995
-74.0,75,141.211065
-94.0,95,141.281247
-80.0,81,141.337409
-77.0,78,141.404098
-62.0,63,141.449111
-96.0,97,141.525223
-76.0,77,141.584893
-109.0,110,141.660049
-169.0,170,141.788337
-81.0,82,141.857131
-80.0,81,141.918923
-75.0,76,141.990033
-63.0,64,142.046156
-70.0,71,142.09129
-72.0,73,142.150124
