#{"t_start": 1768429459.5225291, "env_id": "Acrobot-v1"}
r,l,t
-79.0,80,115.62586
-64.0,65,115.669895
-81.0,82,115.736741
-63.0,64,115.782862
-77.0,78,115.847915
-74.0,75,115.903177
-62.0,63,115.960098
-93.0,94,116.023879
-84.0,85,116.097174
-69.0,70,116.142734
-76.0,77,116.20186
-199.0,200,116.369235
-90.0,91,116.427895
-100.0,101,116.504814
-91.0,92,116.568807
-70.0,71,116.628488
-75.0,76,116.681382
-78.0,79,116.742931
-70.0,71,116.790062
-69.0,70,118.05789
-88.0,89,118.132795
-82.0,83,118.192896
-71.0,72,118.244091
-84.0,85,118.313129
-71.0,72,118.363981
-71.0,72,118.407943
-76.0,77,118.460665
-63.0,64,118.502077
-94.0,95,118.571974
-87.0,88,118.633148
-77.0,78,118.696415
-71.0,72,118.745878
-70.0,71,118.803112
-144.0,145,118.906854
-80.0,81,118.959924
-77.0,78,119.019079
-71.0,72,119.067212
-69.0,70,119.121915
-80.0,81,119.180013
-87.0,88,119.248821
-97.0,98,119.322139
-94.0,95,119.390154
-79.0,80,119.452036
-70.0,71,119.499084
-61.0,62,120.837404
-82.0,83,120.90661
-91.0,92,120.979985
-107.0,108,121.048175
-77.0,78,121.101041
-83.0,84,121.155279
-79.0,80,121.215058
-73.0,74,121.263932
-89.0,90,121.326887
-87.0,88,121.384717
-74.0,75,121.440091
-71.0,72,121.489961
-62.0,63,121.542903
-70.0,71,121.591029
-71.0,72,121.643166
-75.0,76,121.694929
-76.0,77,121.752252
-71.0,72,121.802882
-81.0,82,121.868303
-92.0,93,121.928112
-148.0,149,122.034163
-88.0,89,122.104038
-100.0,101,122.181989
-70.0,71,122.231118
-71.0,72,123.552283
-88.0,89,123.629561
-72.0,73,123.685661
-84.0,85,123.750982
-77.0,78,123.799002
-78.0,79,123.851894
-60.0,61,123.891592
-94.0,95,123.9569
-75.0,76,124.004024
-74.0,75,124.066986
-62.0,63,124.113918
-64.0,65,124.170977
-87.0,88,124.230132
-61.0,62,124.280094
-73.0,74,124.336923
-72.0,73,124.395981
-63.0,64,124.437088
-70.0,71,124.491871
-150.0,151,124.634109
-97.0,98,124.706066
-86.0,87,124.759917
-75.0,76,124.816345
-79.0,80,124.872174
-82.0,83,124.936148
-70.0,71,124.988223
-81.0,82,125.054958
-79.0,80,126.370217
-81.0,82,126.441283
-69.0,70,126.48896
-85.0,86,126.550955
-77.0,78,126.598921
-92.0,93,126.669927
-70.0,71,126.717051
-99.0,100,126.803989
-90.0,91,126.892987
-78.0,79,126.940851
-78.0,79,126.997815
-101.0,102,127.060992
-84.0,85,127.124057
-82.0,83,127.174933
-244.0,245,127.359895
-76.0,77,127.417145
-61.0,62,127.459241
-85.0,86,127.525494
-79.0,80,127.579206
-101.0,102,127.65689
-83.0,84,127.710029
-76.0,77,127.764091
-69.0,70,127.810212
-99.0,100,129.165401
-74.0,75,129.232268
-62.0,63,129.283983
-88.0,89,129.343365
-178.0,179,129.465034
-82.0,83,129.536904
-80.0,81,129.592049
-69.0,70,129.647106
-72.0,73,129.693069
-76.0,77,129.747092
-79.0,80,129.799184
-75.0,76,129.860345
-97.0,98,129.925945
-86.0,87,129.994173
-74.0,75,130.049318
-77.0,78,130.10505
-83.0,84,130.168921
-177.0,178,130.296468
-88.0,89,130.353877
-114.0,115,130.434274
-107.0,108,130.519308
-77.0,78,130.571932
-120.0,121,131.952193
-84.0,85,132.014958
